manufacturers_id	finial_name	finial_image_url	rod_type	finish
5	Ball	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/BB/BB_Fluted_Dec_Acorn.jpg	Smth	Brushed Brass
5	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/BB/BB_Fluted_Dec_Acorn.jpg	Smth	Brushed Brass
5	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/AB/AB_Fluted_Dec_Pine.jpg	Smth	Antique Brass
5	Acorn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/AB/AB_Fluted_Dec_Acorn.jpg	Smth	Antique Brass
5	Ball	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/AB/AB_Fluted_Dec_Acorn.jpg	Smth	Antique Brass
5	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/AB/AB_Fluted_Dec_Acorn.jpg	Smth	Antique Brass
5	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/AP/AP_Dec_Roped_Pine.jpg	Smth	Antique Pewter
5	Acorn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/AP/AP_Dec_Acorn.jpg	Smth	Antique Pewter
5	Ball	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/AP/AP_Fluted_Smth_Ball.jpg	Smth	Antique Pewter
5	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/AP/AP_Dec_Acorn.jpg	Smth	Antique Pewter
5	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/PB/Fluted_Dec_Pine.jpg	Fluted	Polished Brass
5	Acorn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/PB/Fluted_Dec_Acorn.jpg	Fluted	Polished Brass
5	Ball	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/PB/Fluted_Dec_Acorn.jpg	Fluted	Polished Brass
5	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/PB/Fluted_Dec_Acorn.jpg	Fluted	Polished Brass
5	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/BB/BB_Fluted_Dec_Pine.jpg	Fluted	Brushed Brass
5	Acorn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/BB/BB_Fluted_Dec_Acorn.jpg	Fluted	Brushed Brass
5	Ball	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/BB/BB_Fluted_Dec_Acorn.jpg	Fluted	Brushed Brass
5	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/BB/BB_Fluted_Dec_Acorn.jpg	Fluted	Brushed Brass
5	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/AB/AB_Fluted_Dec_Pine.jpg	Fluted	Antique Brass
5	Acorn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/AB/AB_Fluted_Dec_Acorn.jpg	Fluted	Antique Brass
5	Ball	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/AB/AB_Fluted_Dec_Acorn.jpg	Fluted	Antique Brass
5	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/AB/AB_Fluted_Dec_Acorn.jpg	Fluted	Antique Brass
5	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/AP/AP_Dec_Roped_Pine.jpg	Fluted	Antique Pewter
5	Acorn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/AP/AP_Dec_Acorn.jpg	Fluted	Antique Pewter
5	Ball	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/AP/AP_Fluted_Smth_Ball.jpg	Fluted	Antique Pewter
5	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/AP/AP_Dec_Acorn.jpg	Fluted	Antique Pewter
