manufacturers_id	shape_image_url	height	width	shape_name
82	http://s7d5.scene7.com/is/image/Karastan/2120_516R	30.0	144.0	Runner
83	http://s7d5.scene7.com/is/image/Karastan/2200_203	30.0	48.0	Rectangle
83	http://s7d5.scene7.com/is/image/Karastan/2200_203	51.0	72.0	Rectangle
83	http://s7d5.scene7.com/is/image/Karastan/2200_203	69.0	108.0	Rectangle
83	http://s7d5.scene7.com/is/image/Karastan/2200_203	104.0	120.0	Rectangle
83	http://s7d5.scene7.com/is/image/Karastan/2200_203	104.0	144.0	Rectangle
83	http://s7d5.scene7.com/is/image/Karastan/2200_203FR	30.0	102.0	Runner
83	http://s7d5.scene7.com/is/image/Karastan/2200R_00203	30.0	0.0	Continuous Runner
84	http://s7d5.scene7.com/is/image/Karastan/700_712	69.0	108.0	Rectangle
84	http://s7d5.scene7.com/is/image/Karastan/700_712	104.0	126.0	Rectangle
84	http://s7d5.scene7.com/is/image/Karastan/700_712	104.0	144.0	Rectangle
86	http://s7d5.scene7.com/is/image/Karastan/900_901	69.0	108.0	Rectangle
86	http://s7d5.scene7.com/is/image/Karastan/900_901	104.0	120.0	Rectangle
86	http://s7d5.scene7.com/is/image/Karastan/900_901	104.0	144.0	Rectangle
92	http://s7d5.scene7.com/is/image/Karastan/549_15008	69.0	108.0	Rectangle
92	http://s7d5.scene7.com/is/image/Karastan/549_15008	104.0	120.0	Rectangle
92	http://s7d5.scene7.com/is/image/Karastan/549_15008	104.0	144.0	Rectangle
93	http://s7d5.scene7.com/is/image/Karastan/357_29030	44.0	71.0	Rectangle
93	http://s7d5.scene7.com/is/image/Karastan/357_29030	68.0	105.0	Rectangle
93	http://s7d5.scene7.com/is/image/Karastan/357_29030	99.0	140.0	Rectangle
93	http://s7d5.scene7.com/is/image/Karastan/357_29030R	33.0	94.0	Runner
95	http://s7d5.scene7.com/is/image/Karastan/700_785	51.0	72.0	Rectangle
95	http://s7d5.scene7.com/is/image/Karastan/700_785	69.0	108.0	Rectangle
95	http://s7d5.scene7.com/is/image/Karastan/700_785	104.0	126.0	Rectangle
95	http://s7d5.scene7.com/is/image/Karastan/700_785	104.0	144.0	Rectangle
95	http://s7d5.scene7.com/is/image/Karastan/700_785R	30.0	102.0	Runner
95	http://s7d5.scene7.com/is/image/Karastan/700R_785	30.0	0.0	Continuous Runner
99	http://s7d5.scene7.com/is/image/Karastan/385_29773	42.0	66.0	Rectangle
99	http://s7d5.scene7.com/is/image/Karastan/385_29773	66.0	102.0	Rectangle
99	http://s7d5.scene7.com/is/image/Karastan/385_29773	99.0	138.0	Rectangle
100	http://s7d5.scene7.com/is/image/Karastan/35505_33004	29.0	48.0	Rectangle
100	http://s7d5.scene7.com/is/image/Karastan/35505_33004	39.0	66.0	Rectangle
100	http://s7d5.scene7.com/is/image/Karastan/35505_33004	66.0	99.0	Rectangle
100	http://s7d5.scene7.com/is/image/Karastan/35505_33004	96.0	120.0	Rectangle
100	http://s7d5.scene7.com/is/image/Karastan/35505_33004	102.0	138.0	Rectangle
100	http://s7d5.scene7.com/is/image/Karastan/35505_33004	114.0	158.0	Rectangle
100	http://s7d5.scene7.com/is/image/Karastan/35505R_33004	29.0	96.0	Runner
100	http://s7d5.scene7.com/is/image/Karastan/35505R_33004	29.0	144.0	Runner
102	http://s7d5.scene7.com/is/image/Karastan/35505_33003	29.0	48.0	Rectangle
102	http://s7d5.scene7.com/is/image/Karastan/35505_33003	39.0	66.0	Rectangle
102	http://s7d5.scene7.com/is/image/Karastan/35505_33003	66.0	99.0	Rectangle
102	http://s7d5.scene7.com/is/image/Karastan/35505_33003	96.0	120.0	Rectangle
102	http://s7d5.scene7.com/is/image/Karastan/35505_33003	102.0	138.0	Rectangle
102	http://s7d5.scene7.com/is/image/Karastan/35505_33003	114.0	158.0	Rectangle
102	http://s7d5.scene7.com/is/image/Karastan/35505R_33003	29.0	96.0	Runner
102	http://s7d5.scene7.com/is/image/Karastan/35505R_33003	29.0	144.0	Runner
103	http://s7d5.scene7.com/is/image/Karastan/35505_33002	29.0	48.0	Rectangle
103	http://s7d5.scene7.com/is/image/Karastan/35505_33002	39.0	66.0	Rectangle
103	http://s7d5.scene7.com/is/image/Karastan/35505_33002	66.0	99.0	Rectangle
103	http://s7d5.scene7.com/is/image/Karastan/35505_33002	96.0	120.0	Rectangle
103	http://s7d5.scene7.com/is/image/Karastan/35505_33002	102.0	138.0	Rectangle
103	http://s7d5.scene7.com/is/image/Karastan/35505_33002	114.0	158.0	Rectangle
103	http://s7d5.scene7.com/is/image/Karastan/35505R_33002	29.0	96.0	Runner
103	http://s7d5.scene7.com/is/image/Karastan/35505R_33002	29.0	144.0	Runner
104	http://s7d5.scene7.com/is/image/Karastan/700_715	69.0	108.0	Rectangle
104	http://s7d5.scene7.com/is/image/Karastan/700_715	104.0	126.0	Rectangle
106	http://s7d5.scene7.com/is/image/Karastan/2120_540	30.0	48.0	Rectangle
106	http://s7d5.scene7.com/is/image/Karastan/2120_540	33.0	60.0	Rectangle
106	http://s7d5.scene7.com/is/image/Karastan/2120_540	44.0	60.0	Rectangle
106	http://s7d5.scene7.com/is/image/Karastan/2120_540	67.0	95.0	Rectangle
106	http://s7d5.scene7.com/is/image/Karastan/2120_540	96.0	125.0	Rectangle
106	http://s7d5.scene7.com/is/image/Karastan/2120_540	102.0	138.0	Rectangle
106	http://s7d5.scene7.com/is/image/Karastan/2120_540R	30.0	96.0	Runner
106	http://s7d5.scene7.com/is/image/Karastan/2120_540R	30.0	144.0	Runner
107	http://s7d5.scene7.com/is/image/Karastan/2120_539	30.0	48.0	Rectangle
107	http://s7d5.scene7.com/is/image/Karastan/2120_539	33.0	60.0	Rectangle
107	http://s7d5.scene7.com/is/image/Karastan/2120_539	44.0	60.0	Rectangle
107	http://s7d5.scene7.com/is/image/Karastan/2120_539	67.0	95.0	Rectangle
107	http://s7d5.scene7.com/is/image/Karastan/2120_539	96.0	125.0	Rectangle
107	http://s7d5.scene7.com/is/image/Karastan/2120_539	102.0	138.0	Rectangle
107	http://s7d5.scene7.com/is/image/Karastan/2120_539R	30.0	96.0	Runner
107	http://s7d5.scene7.com/is/image/Karastan/2120_539R	30.0	144.0	Runner
108	http://s7d5.scene7.com/is/image/Karastan/2120_00505R	30.0	96.0	Runner
108	http://s7d5.scene7.com/is/image/Karastan/2120_00505R	30.0	144.0	Runner
108	http://s7d5.scene7.com/is/image/Karastan/2120_505	30.0	48.0	Rectangle
108	http://s7d5.scene7.com/is/image/Karastan/2120_505	33.0	60.0	Rectangle
108	http://s7d5.scene7.com/is/image/Karastan/2120_505	44.0	60.0	Rectangle
108	http://s7d5.scene7.com/is/image/Karastan/2120_505	67.0	95.0	Rectangle
108	http://s7d5.scene7.com/is/image/Karastan/2120_505	96.0	125.0	Rectangle
108	http://s7d5.scene7.com/is/image/Karastan/2120_505	102.0	138.0	Rectangle
