manufacturers_id	color_category	color_name
457	Shaw Custom	Glenmoor	
458	Shaw Custom	Kashmar	
459	Shaw Custom	Rustic Oak	
460	Shaw Custom	Pagosa Springs	
461	Shaw Custom	Marina	
462	Shaw Custom	Chesapeake	
463	Shaw Custom	Cherry Pop	
464	Shaw Custom	Nena	
465	Shaw Custom	Anchors Aweigh	
466	Shaw Custom	Painted Desert	
467	Shaw Custom	Holiday Sweets	
468	Shaw Custom	Olive Diamond	
469	Shaw Custom	Red Poppy	
470	Shaw Custom	Island Flower	
471	Shaw Custom	Giraffe	
472	Shaw Custom	Marciana	
473	Shaw Custom	Jourdain	
474	Shaw Custom	New York Skyline	
475	Shaw Custom	Fractals	
476	Shaw Custom	Woodlands	
477	Shaw Custom	Canberra Ikat	
478	Shaw Custom	Soraya	
479	Shaw Custom	Destinations	
480	Shaw Custom	Caucasian	
481	Shaw Custom	Ikat Panel	
482	Shaw Custom	Garden Vine	
483	Shaw Custom	Upper East Side	
484	Shaw Custom	Trellis Leaf	
485	Shaw Custom	Artist's Palette	
486	Shaw Custom	Tango	
487	Shaw Custom	Tuscan Vineyards	
488	Shaw Custom	Silver Sands	
489	Shaw Custom	Ashbury	
490	Shaw Custom	Tanzania	
491	Shaw Custom	Aldo	
492	Shaw Custom	Kenya	
493	Shaw Custom	Barnwood	
494	Shaw Custom	Winter Night	
495	Shaw Custom	Carnival Palms	
496	Shaw Custom	Bergamo	
497	Shaw Custom	Madison	
498	Shaw Custom	Trim the Tree	
499	Shaw Custom	Kenyan Plains	
500	Shaw Custom	Bali Kai Retreat	
501	Shaw Custom	Kimono	
502	Shaw Custom	Jardin De France	
503	Shaw Custom	Royal Shimmer	
504	Shaw Custom	Scotties	
505	Shaw Custom	Jaku	
506	Shaw Custom	Roxy	
507	Shaw Custom	Maison Rooster	
508	Shaw Custom	Andalusia	
509	Shaw Custom	Devonshire	
510	Shaw Custom	Mezzo	
511	Shaw Custom	Loop De Loop	
512	Shaw Custom	Quilter's Art	
513	Shaw Custom	Umbra	
514	Shaw Custom	Umber	
515	Shaw Custom	Go Go	
516	Shaw Custom	Percussion	
517	Shaw Custom	Batik Leaf	
518	Shaw Custom	Fusion	
519	Shaw Custom	Brookhaven	
520	Shaw Custom	Windsor	
