manufacturers_id	color_category	color_name
51	Momeni Custom	GRASS	
51	Momeni Custom	YELLOW	
52	Momeni Custom	RUST	
52	Momeni Custom	SEAFOAM	
52	Momeni Custom	BROWN	
52	Momeni Custom	COBALT	
52	Momeni Custom	GREY	
52	Momeni Custom	SLATE	
52	Momeni Custom	BEIGE	
52	Momeni Custom	AUBERGINE	
52	Momeni Custom	MAGENTA	
52	Momeni Custom	OLIVE	
52	Momeni Custom	COPPER	
52	Momeni Custom	SAGE	
53	Momeni Custom	GOLD	
53	Momeni Custom	CHARCOAL	
53	Momeni Custom	MOCHA	
53	Momeni Custom	STONE	
53	Momeni Custom	ALMOND	
53	Momeni Custom	BLUE	
53	Momeni Custom	JADE	
53	Momeni Custom	SPICE	
53	Momeni Custom	POMEGRANAT
